drugbank_id	name	cas	group
DB00006	Bivalirudin	128270-60-0	approved,investigational,
DB00014	Goserelin	65807-02-5	approved,
DB00027	Gramicidin D	1405-97-6	approved,
DB00035	Desmopressin	16679-58-6	approved,
DB00050	Cetrorelix	120287-85-6	approved,investigational,
DB00067	Vasopressin	11000-17-2	approved,
DB00080	Daptomycin	103060-53-3	approved,investigational,
DB00091	Cyclosporine	59865-13-3	approved,investigational,vet_approved,
DB00093	Felypressin	56-59-7	approved,
DB00104	Octreotide	83150-76-9	approved,investigational,
DB00106	Abarelix	183552-38-7	approved,investigational,withdrawn,
DB00114	Pyridoxal Phosphate	54-47-7	approved,investigational,nutraceutical,
DB00115	Cyanocobalamin	68-19-9	approved,nutraceutical,
DB00116	Tetrahydrofolic acid	135-16-0	nutraceutical,
DB00117	Histidine	71-00-1	approved,nutraceutical,
DB00118	Ademetionine	29908-03-0	approved,investigational,nutraceutical,
DB00119	Pyruvic acid	127-17-3	approved,investigational,nutraceutical,
DB00120	L-Phenylalanine	63-91-2	approved,investigational,nutraceutical,
DB00121	Biotin	58-85-5	approved,investigational,nutraceutical,
DB00122	Choline	62-49-7	approved,nutraceutical,
DB00123	L-Lysine	56-87-1	approved,nutraceutical,
DB00125	L-Arginine	74-79-3	approved,nutraceutical,
DB00126	Vitamin C	50-81-7	approved,nutraceutical,
DB00127	Spermine	71-44-3	approved,nutraceutical,
DB00128	L-Aspartic Acid	56-84-8	approved,nutraceutical,
DB00129	Ornithine	70-26-8	approved,nutraceutical,
DB00130	L-Glutamine	56-85-9	approved,investigational,nutraceutical,
DB00131	Adenosine monophosphate	61-19-8	approved,investigational,nutraceutical,
DB00132	Alpha-Linolenic Acid	463-40-1	approved,nutraceutical,
DB00133	Serine	56-45-1	approved,nutraceutical,
DB00134	Methionine	63-68-3	approved,nutraceutical,
DB00135	L-Tyrosine	60-18-4	approved,investigational,nutraceutical,
DB00136	Calcitriol	32222-06-3	approved,nutraceutical,
DB00137	Lutein	127-40-2	approved,investigational,nutraceutical,
DB00138	Cystine	56-89-3	approved,nutraceutical,
DB00139	Succinic acid	110-15-6	approved,nutraceutical,
DB00140	Riboflavin	83-88-5	approved,investigational,nutraceutical,vet_approved,
DB00141	N-Acetylglucosamine	7512-17-6	approved,investigational,nutraceutical,
DB00142	Glutamic Acid	56-86-0	approved,nutraceutical,
DB00143	Glutathione	70-18-8	approved,investigational,nutraceutical,
DB00144	Phosphatidyl serine	1446756-47-3	approved,investigational,nutraceutical,
DB00145	Glycine	56-40-6	approved,nutraceutical,vet_approved,
DB00146	Calcidiol	19356-17-3	approved,nutraceutical,
DB00147	Pyridoxal	66-72-8	approved,nutraceutical,
DB00148	Creatine	57-00-1	approved,investigational,nutraceutical,
DB00149	L-Leucine	61-90-5	approved,nutraceutical,
DB00150	L-Tryptophan	73-22-3	approved,nutraceutical,withdrawn,
DB00151	L-Cysteine	52-90-4	approved,nutraceutical,
DB00152	Thiamine	70-16-6	approved,investigational,nutraceutical,vet_approved,
DB00153	Ergocalciferol	50-14-6	approved,nutraceutical,
DB00154	Dihomo-gamma-linolenic acid	1783-84-2	approved,investigational,nutraceutical,
DB00155	L-Citrulline	372-75-8	approved,investigational,nutraceutical,
DB00156	L-Threonine	72-19-5	approved,nutraceutical,
DB00157	NADH	58-68-4	approved,nutraceutical,
DB00158	Folic Acid	59-30-3	approved,nutraceutical,vet_approved,
DB00159	Icosapent	10417-94-4	approved,nutraceutical,
DB00160	L-Alanine	56-41-7	approved,nutraceutical,
DB00161	L-Valine	72-18-4	approved,nutraceutical,
DB00162	Vitamin A	68-26-8	approved,nutraceutical,vet_approved,
DB00163	Vitamin E	59-02-9	approved,nutraceutical,vet_approved,
DB00165	Pyridoxine	65-23-6	approved,investigational,nutraceutical,vet_approved,
DB00166	Lipoic Acid	1200-22-2	approved,investigational,nutraceutical,
DB00167	L-Isoleucine	73-32-5	approved,investigational,nutraceutical,
DB00168	Aspartame	22839-47-0	approved,nutraceutical,
DB00169	Cholecalciferol	67-97-0	approved,nutraceutical,
DB00170	Menadione	58-27-5	approved,nutraceutical,
DB00171	ATP	56-65-5	investigational,nutraceutical,
DB00172	L-Proline	147-85-3	approved,nutraceutical,
DB00173	Adenine	73-24-5	approved,nutraceutical,
DB00174	L-Asparagine	70-47-3	approved,investigational,nutraceutical,
DB00175	Pravastatin	81093-37-0	approved,
DB00176	Fluvoxamine	54739-18-3	approved,investigational,
DB00177	Valsartan	137862-53-4	approved,investigational,
DB00178	Ramipril	87333-19-5	approved,
DB00179	Masoprocol	27686-84-6	approved,investigational,
DB00180	Flunisolide	3385-03-3	approved,investigational,
DB00181	Baclofen	1134-47-0	approved,
DB00182	Amphetamine	300-62-9	approved,illicit,investigational,
DB00183	Pentagastrin	5534-95-2	approved,
DB00184	Nicotine	54-11-5	approved,
DB00185	Cevimeline	107233-08-9	approved,
DB00186	Lorazepam	846-49-1	approved,
DB00187	Esmolol	81147-92-4	approved,
DB00188	Bortezomib	179324-69-7	approved,investigational,
DB00189	Ethchlorvynol	113-18-8	approved,illicit,withdrawn,
DB00190	Carbidopa	28860-95-9	approved,
DB00191	Phentermine	122-09-8	approved,illicit,
DB00192	Indecainide	74517-78-5	approved,
DB00193	Tramadol	27203-92-5	approved,investigational,
DB00194	Vidarabine	24356-66-9	approved,investigational,
DB00195	Betaxolol	63659-18-7	approved,investigational,
DB00196	Fluconazole	86386-73-4	approved,investigational,
DB00197	Troglitazone	97322-87-7	investigational,withdrawn,
DB00198	Oseltamivir	196618-13-0	approved,
DB00199	Erythromycin	114-07-8	approved,investigational,vet_approved,
DB00200	Hydroxocobalamin	13422-51-0	approved,
DB00201	Caffeine	58-08-2	approved,
DB00202	Succinylcholine	306-40-1	approved,
DB00203	Sildenafil	139755-83-2	approved,investigational,
DB00204	Dofetilide	115256-11-6	approved,investigational,
DB00205	Pyrimethamine	58-14-0	approved,investigational,vet_approved,
DB00206	Reserpine	50-55-5	approved,investigational,
DB00207	Azithromycin	83905-01-5	approved,
DB00208	Ticlopidine	55142-85-3	approved,
DB00209	Trospium	47608-32-2	approved,
DB00210	Adapalene	106685-40-9	approved,
DB00211	Midodrine	42794-76-3	approved,
DB00212	Remikiren	126222-34-2	approved,
DB00213	Pantoprazole	102625-70-7	approved,
DB00214	Torasemide	56211-40-6	approved,
DB00215	Citalopram	59729-33-8	approved,
DB00216	Eletriptan	143322-58-1	approved,investigational,
DB00217	Bethanidine	55-73-2	approved,
DB00218	Moxifloxacin	151096-09-2	approved,investigational,
DB00219	Oxyphenonium	14214-84-7	approved,
DB00220	Nelfinavir	159989-64-7	approved,
DB00221	Isoetarine	79490-84-9	approved,
DB00222	Glimepiride	93479-97-1	approved,
DB00223	Diflorasone	2557-49-5	approved,
DB00224	Indinavir	150378-17-9	approved,
DB00225	Gadodiamide	131410-48-5	approved,investigational,
DB00226	Guanadrel	40580-59-4	approved,
DB00227	Lovastatin	75330-75-5	approved,investigational,
DB00228	Enflurane	13838-16-9	approved,investigational,vet_approved,
DB00229	Cefotiam	61622-34-2	approved,investigational,
DB00230	Pregabalin	148553-50-8	approved,illicit,investigational,
DB00231	Temazepam	846-50-4	approved,investigational,
DB00232	Methyclothiazide	135-07-9	approved,
DB00233	Aminosalicylic Acid	65-49-6	approved,
DB00234	Reboxetine	71620-89-8	approved,investigational,
DB00235	Milrinone	78415-72-2	approved,
DB00236	Pipobroman	54-91-1	approved,
DB00237	Butabarbital	125-40-6	approved,illicit,
DB00238	Nevirapine	129618-40-2	approved,
